name,price,origin,year,date,mileage,energy,gearbox,color,seats,doors,length,ratedHorsePower,powerDIN,consumption,brand,model
PEUGEOT 2008 II,26990.0,France,2022.0,12/01/2023,42 820 km,Essence,Manuelle,rouge,5.0,5.0,"4,30 m",7 CV,(DIN) 131 ch,"5,6 L/100 km",PEUGEOT,2008 II
DS 9,40930.0,France,2022.0,01/07/2022,32 037 km,Hybride essence électrique,Automatique,GRIS,5.0,4.0,,11 CV,(DIN) 360 ch - (moteur) 147 kW,,DS,9
BMW SERIE 7 G11 phase 2,85580.0,France,2020.0,26/06/2020,26 643 km,Diesel,Automatique,bleu,,4.0,,20 CV,(DIN) 320 ch,7 L/100 km,BMW,SERIE 7 G11 phase 2
AUDI R8,62980.0,France,2009.0,26/04/2009,90 029 km,Essence,Automatique,gris foncé metal,2.0,2.0,"4,43 m",34 CV,(DIN) 420 ch - (moteur) 309 kW,"9,6 L/100 km",AUDI,R8
MINI MINI 3 5P,27690.0,Importé,2023.0,09/04/2023,11 861 km,Essence,Automatique,gris,,5.0,,7 CV,(DIN) 136 ch - (moteur) 100 kW,,MINI,MINI 3 5P
NISSAN LEAF II,20690.0,France,2021.0,08/12/2021,27 250 km,Electrique,Automatique,gris metal,,5.0,,4 CV,(DIN) 122 ch - (moteur) 110 kW,,NISSAN,LEAF II
OPEL CROSSLAND X,13620.0,France,2018.0,14/09/2018,102 537 km,Diesel,Manuelle,Gris Quantum,5.0,5.0,"4,21 m",5 CV,(DIN) 99 ch,"3,3 L/100 km",OPEL,CROSSLAND X
CITROEN C3 III phase 2,25610.0,France,2023.0,12/10/2023,12 km,Essence,Automatique,gris,5.0,5.0,4 m,6 CV,(DIN) 110 ch,"5,9 L/100 km",CITROEN,C3 III phase 2
OPEL GRANDLAND X,24450.0,France,2020.0,26/07/2020,57 421 km,Essence,Automatique,PLATINIUM,5.0,5.0,,7 CV,(DIN) 131 ch,"5,2 L/100 km",OPEL,GRANDLAND X
OPEL CORSA VI,20380.0,France,2021.0,26/03/2021,51 074 km,Essence,Automatique,gris clair metal,5.0,5.0,"4,06 m",5 CV,(DIN) 101 ch - (moteur) 74 kW,"5,8 L/100 km",OPEL,CORSA VI
PEUGEOT 2008 II,28060.0,France,2022.0,14/03/2022,21 673 km,Essence,Automatique,gris clair,5.0,5.0,"4,30 m",7 CV,(DIN) 131 ch,6 L/100 km,PEUGEOT,2008 II
DACIA SANDERO 3,22390.0,Importé,2024.0,01/01/2025,12 km,Essence,Manuelle,blanc,,5.0,,5 CV,(DIN) 90 ch,,DACIA,SANDERO 3
FORD MUSTANG 5 COUPE,86880.0,Importé,2013.0,24/12/2013,40 484 km,Essence,Manuelle,blanc verni,,2.0,,35 CV,(DIN) 750 ch,,FORD,MUSTANG 5 COUPE
SKODA SCALA,21220.0,France,2021.0,29/03/2021,148 504 km,Diesel,Automatique,blanc,5.0,5.0,"4,36 m",6 CV,(DIN) 116 ch,"5,2 L/100 km",SKODA,SCALA
NISSAN QASHQAI II phase 2,21260.0,France,2018.0,04/08/2018,76 048 km,Essence,Manuelle,bleu,,5.0,,6 CV,(DIN) 116 ch,"5,1 L/100 km",NISSAN,QASHQAI II phase 2
BMW X2 F39,43980.0,France,2022.0,06/02/2022,32 442 km,Hybride essence électrique,Automatique,NOIR,5.0,5.0,,6 CV,(DIN) 220 ch,,BMW,X2 F39
PEUGEOT 208 II,25180.0,France,2023.0,05/08/2023,7 590 km,Essence,Automatique,gris clair,5.0,5.0,"4,05 m",5 CV,(DIN) 101 ch,"5,4 L/100 km",PEUGEOT,208 II
PEUGEOT 408,49180.0,Importé,2024.0,25/06/2024,12 km,Essence,Automatique,titane,5.0,5.0,,7 CV,(DIN) 130 ch - (moteur) 96 kW,,PEUGEOT,408
MINI COUNTRYMAN 2,40760.0,Importé,2023.0,06/07/2023,15 149 km,Essence,Automatique,noir,,5.0,,7 CV,(DIN) 136 ch - (moteur) 100 kW,,MINI,COUNTRYMAN 2
OPEL CORSA VI,22040.0,France,2022.0,03/02/2022,51 258 km,Essence,Automatique,GRIS QUARTZ,5.0,5.0,"4,06 m",5 CV,(DIN) 101 ch,"5,4 L/100 km",OPEL,CORSA VI
RENAULT TRAFIC III phase 2,25390.0,France,2022.0,09/05/2022,95 469 km,Diesel,Manuelle,blanc metal,,4.0,,7 CV,(DIN) 120 ch - (moteur) 88 kW,"7,3 L/100 km",RENAULT,TRAFIC III phase 2
RENAULT MEGANE IV SOCIETE,15730.0,France,2021.0,21/07/2021,97 998 km,Diesel,Manuelle,blanc,2.0,5.0,"4,36 m",6 CV,(DIN) 116 ch,,RENAULT,MEGANE IV SOCIETE
AUDI Q2,27100.0,Importé,2018.0,21/02/2018,93 346 km,Essence,Automatique,noir metal,5.0,5.0,,8 CV,(DIN) 150 ch - (moteur) 110 kW,"5,2 L/100 km",AUDI,Q2
PORSCHE 911 TYPE 991 CABRIOLET phase 2,195070.0,France,2019.0,12/05/2019,53 070 km,Essence,Automatique,noir,4.0,2.0,"4,50 m",35 CV,(DIN) 450 ch,"9,7 L/100 km",PORSCHE,911 TYPE 991 CABRIOLET phase 2
DS DS 4 phase 2,19060.0,France,2017.0,24/06/2017,110 009 km,Diesel,Automatique,blanc,5.0,5.0,,6 CV,(DIN) 120 ch,"3,8 L/100 km",DS,DS 4 phase 2
AUDI RS6 II AVANT,40300.0,France,2009.0,26/01/2010,186 000 km,Essence,Automatique,gris,5.0,5.0,"4,93 m",51 CV,(DIN) 579 ch,14 L/100 km,AUDI,RS6 II AVANT
BMW SERIE 5 G31 TOURING phase 2,31050.0,France,2020.0,04/09/2020,100 663 km,Diesel,Automatique,gris clair,5.0,5.0,"4,94 m",10 CV,(DIN) 190 ch - (moteur) 140 kW,"4,3 L/100 km",BMW,SERIE 5 G31 TOURING phase 2
MERCEDES GLC,34100.0,France,2018.0,13/07/2018,114 295 km,Diesel,Automatique,noir,5.0,5.0,,9 CV,(DIN) 170 ch,"4,7 L/100 km",MERCEDES,GLC
PEUGEOT 208 II,34980.0,France,2023.0,13/07/2023,4 438 km,Essence,Automatique,noir,5.0,5.0,"4,05 m",5 CV,(DIN) 100 ch,"5,4 L/100 km",PEUGEOT,208 II
PEUGEOT 208 II,21980.0,France,2023.0,21/07/2023,16 660 km,Essence,Manuelle,blanc,5.0,5.0,"4,05 m",5 CV,(DIN) 101 ch,"5,1 L/100 km",PEUGEOT,208 II
PEUGEOT 308 II phase 2,34770.0,France,2018.0,14/12/2018,34 583 km,Diesel,Automatique,gris clair,5.0,5.0,"4,25 m",9 CV,(DIN) 177 ch,"4,2 L/100 km",PEUGEOT,308 II phase 2
RENAULT MEGANE V,44270.0,France,2023.0,04/09/2023,111 km,Electrique,Automatique,noir,5.0,5.0,"4,20 m",4 CV,(DIN) 75 ch,,RENAULT,MEGANE V
HYUNDAI TUCSON IV,50430.0,Importé,2024.0,25/04/2024,6 765 km,Hybride essence électrique,Automatique,noir metal,5.0,5.0,"4,51 m",10 CV,(DIN) 230 ch - (moteur) 132 kW,,HYUNDAI,TUCSON IV
RENAULT CLIO V,12990.0,France,2021.0,18/06/2021,68 401 km,Essence,Manuelle,platine,5.0,5.0,"4,05 m",5 CV,(DIN) 101 ch,"5,2 L/100 km",RENAULT,CLIO V
NISSAN PRIMASTAR,37950.0,France,2024.0,07/07/2024,1 km,Diesel,Manuelle,blanc,3.0,4.0,"5,08 m",7 CV,(DIN) 130 ch,"7,8 L/100 km",NISSAN,PRIMASTAR
DACIA SANDERO II STEPWAY phase 2,12390.0,France,2019.0,21/03/2019,75 159 km,Diesel,Manuelle,rouge foncé,5.0,5.0,"4,08 m",4 CV,(DIN) 90 ch,"3,8 L/100 km",DACIA,SANDERO II STEPWAY phase 2
FIAT 500 C II phase 2,20130.0,France,2022.0,23/08/2022,27 363 km,Essence,Manuelle,gris foncé,4.0,3.0,,4 CV,(DIN) 71 ch,,FIAT,500 C II phase 2
DS 7 CROSSBACK,37110.0,France,2020.0,21/07/2020,80 040 km,Essence,Automatique,gris metal,5.0,5.0,,12 CV,(DIN) 224 ch - (moteur) 165 kW,"5,6 L/100 km",DS,7 CROSSBACK
RENAULT MEGANE IV,19020.0,France,2020.0,10/02/2020,52 237 km,Essence,Manuelle,gris foncé,5.0,5.0,"4,36 m",6 CV,(DIN) 116 ch,"5,3 L/100 km",RENAULT,MEGANE IV
LAND ROVER DISCOVERY SPORT,34370.0,France,2019.0,20/02/2019,92 106 km,Diesel,Automatique,gris,,5.0,,8 CV,(DIN) 150 ch,"4,7 L/100 km",LAND,ROVER DISCOVERY SPORT
HYUNDAI TUCSON III,22780.0,France,2019.0,30/11/2019,78 722 km,Diesel,Manuelle,blanc,5.0,5.0,,6 CV,(DIN) 116 ch,"4,2 L/100 km",HYUNDAI,TUCSON III
JAGUAR F-PACE phase 2,97320.0,France,2023.0,29/04/2023,25 895 km,Hybride essence électrique,Automatique,noir metal,,5.0,,19 CV,(DIN) 301 ch - (moteur) 221 kW,,JAGUAR,F-PACE phase 2
PEUGEOT 308 III,33290.0,France,2024.0,12/03/2024,1 km,Essence,Automatique,gris,5.0,5.0,"4,37 m",7 CV,(DIN) 130 ch,"5,7 L/100 km",PEUGEOT,308 III
FORD FIESTA V phase 2,12960.0,France,2018.0,06/10/2018,50 958 km,Essence,Manuelle,rouge,,5.0,,5 CV,(DIN) 101 ch,"3,7 L/100 km",FORD,FIESTA V phase 2
CITROEN C5,7380.0,France,2005.0,13/01/2006,54 908 km,Diesel,Manuelle,gris metal,5.0,5.0,,6 CV,(DIN) 110 ch - (moteur) 80 kW,"4,6 L/100 km",CITROEN,C5
PORSCHE CAYENNE II,41980.0,France,2013.0,09/09/2013,112 800 km,Diesel,Automatique,noir metal,5.0,5.0,,15 CV,(DIN) 245 ch - (moteur) 180 kW,"6,5 L/100 km",PORSCHE,CAYENNE II
AUDI Q5,17420.0,Importé,2012.0,16/07/2012,165 156 km,Diesel,Manuelle,gris foncé,,5.0,,8 CV,(DIN) 143 ch,,AUDI,Q5
MINI III CABRIOLET,31240.0,Importé,2022.0,16/07/2022,55 989 km,Essence,Automatique,bleu metal,4.0,2.0,,7 CV,(DIN) 136 ch - (moteur) 100 kW,"6,2 L/100 km",MINI,III CABRIOLET
FIAT TIPO 2,23550.0,Importé,2022.0,22/04/2022,7 169 km,Essence,Manuelle,noir,,5.0,,5 CV,(DIN) 100 ch,,FIAT,TIPO 2
CITROEN C5 X,46620.0,France,2023.0,26/03/2023,23 554 km,Hybride essence électrique,Automatique,KTV NOIR PERLA NERA,5.0,5.0,,10 CV,(DIN) 224 ch,,CITROEN,C5 X
AUDI Q3 II SPORTBACK,51230.0,France,2023.0,27/05/2023,20 824 km,Essence,Automatique,gris,5.0,5.0,"4,50 m",8 CV,(DIN) 150 ch,"6,8 L/100 km",AUDI,Q3 II SPORTBACK
FIAT 500 III,24510.0,France,2022.0,09/08/2022,27 768 km,Electrique,Automatique,gris,,3.0,,3 CV,(DIN) 120 ch - (moteur) 87 kW,,FIAT,500 III
OPEL ASTRA V SPORTS TOURER,19700.0,France,2020.0,08/06/2020,118 663 km,Essence,Automatique,noir,5.0,5.0,"4,70 m",8 CV,(DIN) 150 ch,"5,7 L/100 km",OPEL,ASTRA V SPORTS TOURER
TOYOTA C-HR,22240.0,France,2019.0,25/02/2019,95 522 km,Hybride essence électrique,Automatique,blanc,5.0,5.0,,4 CV,(DIN) 122 ch,"3,8 L/100 km",TOYOTA,C-HR
JAGUAR E-PACE,36780.0,France,2020.0,21/02/2020,76 809 km,Diesel,Automatique,noir,5.0,5.0,,9 CV,(DIN) 150 ch,6 L/100 km,JAGUAR,E-PACE
PEUGEOT 508 II,32740.0,France,2021.0,05/02/2021,94 560 km,Essence,Automatique,gris,5.0,5.0,,12 CV,(DIN) 224 ch,"5,7 L/100 km",PEUGEOT,508 II
OPEL GRANDLAND X,17830.0,France,2018.0,28/03/2018,77 847 km,Essence,Manuelle,BRIGHT RED,5.0,5.0,"4,48 m",7 CV,(DIN) 131 ch,"4,9 L/100 km",OPEL,GRANDLAND X
VOLKSWAGEN TIGUAN II,32470.0,France,2018.0,01/08/2018,68 216 km,Diesel,Automatique,NOIR,5.0,5.0,,8 CV,(DIN) 150 ch,"4,5 L/100 km",VOLKSWAGEN,TIGUAN II
PEUGEOT 208 II,18340.0,France,2021.0,04/11/2021,53 206 km,Essence,Manuelle,blanc,5.0,5.0,"4,06 m",5 CV,(DIN) 101 ch,"5,4 L/100 km",PEUGEOT,208 II
DODGE RAM,51400.0,France,2017.0,14/08/2017,194 880 km,Essence,Automatique,blanc verni,,2.0,,31 CV,(DIN) 390 ch,,DODGE,RAM
PORSCHE 911 TYPE 992 CABRIOLET,274470.0,Importé,2023.0,22/11/2023,12 656 km,Essence,Automatique,ivoire verni,4.0,2.0,,37 CV,(DIN) 480 ch - (moteur) 353 kW,"10,9 L/100 km",PORSCHE,911 TYPE 992 CABRIOLET
PEUGEOT 3008 II,23500.0,France,2019.0,28/05/2019,101 228 km,Diesel,Manuelle,GRIS FONCE,5.0,5.0,,6 CV,(DIN) 131 ch,"4,2 L/100 km",PEUGEOT,3008 II
RENAULT TALISMAN,17640.0,France,2016.0,25/04/2016,87 912 km,Diesel,Manuelle,gris foncé,5.0,4.0,"4,85 m",6 CV,(DIN) 131 ch,"3,5 L/100 km",RENAULT,TALISMAN
VOLKSWAGEN T-CROSS,17400.0,France,2020.0,10/06/2020,84 362 km,Essence,Manuelle,blanc,5.0,5.0,,5 CV,(DIN) 95 ch,"4,9 L/100 km",VOLKSWAGEN,T-CROSS
LYNK & CO 01,36260.0,France,2022.0,30/01/2023,23 005 km,Hybride essence électrique,Automatique,noir metal,,5.0,,10 CV,(DIN) 261 ch - (moteur) 192 kW,"1,1 L/100 km",LYNK,& CO 01
VOLKSWAGEN GOLF VII phase 2,27000.0,France,2019.0,06/07/2019,112 113 km,Diesel,Manuelle,blanc,5.0,5.0,,10 CV,(DIN) 184 ch,"4,5 L/100 km",VOLKSWAGEN,GOLF VII phase 2
CUPRA FORMENTOR,43850.0,France,2022.0,15/03/2022,50 624 km,Hybride essence électrique,Automatique,*******,5.0,5.0,,8 CV,(DIN) 245 ch,"1,5 L/100 km",CUPRA,FORMENTOR
VOLKSWAGEN GOLF VII,19780.0,France,2017.0,05/01/2018,102 190 km,Diesel,Manuelle,gris,5.0,5.0,,8 CV,(DIN) 150 ch,"3,8 L/100 km",VOLKSWAGEN,GOLF VII
FIAT TIPO II,15380.0,France,2021.0,13/03/2021,47 862 km,Essence,Manuelle,gris clair,,5.0,,5 CV,(DIN) 95 ch,"6,4 L/100 km",FIAT,TIPO II
CITROEN C3 III phase 2,15660.0,France,2022.0,07/05/2022,53 742 km,Essence,Manuelle,noir,5.0,5.0,,4 CV,(DIN) 83 ch,"5,8 L/100 km",CITROEN,C3 III phase 2
RENAULT ESPACE V,15980.0,France,2017.0,13/05/2017,145 602 km,Diesel,Manuelle,gris,5.0,5.0,,7 CV,(DIN) 131 ch,"4,2 L/100 km",RENAULT,ESPACE V
TESLA MODEL S phase 2,52630.0,France,2019.0,18/07/2019,61 074 km,Electrique,Automatique,gris foncé metal,5.0,5.0,"4,98 m",9 CV,(DIN) 340 ch - (moteur) 380 kW,,TESLA,MODEL S phase 2
MERCEDES GLC,47060.0,France,2019.0,20/04/2019,25 508 km,Essence,Automatique,gris metal,5.0,5.0,"4,66 m",13 CV,(DIN) 211 ch - (moteur) 155 kW,"7,5 L/100 km",MERCEDES,GLC
MERCEDES CLASSE C IV CABRIOLET,40840.0,France,2019.0,21/10/2019,75 075 km,Diesel,Automatique,Bleu,4.0,2.0,,11 CV,(DIN) 204 ch,5 L/100 km,MERCEDES,CLASSE C IV CABRIOLET
VOLVO XC60 II phase 2,71480.0,France,2021.0,24/01/2022,49 213 km,Hybride essence électrique,Automatique,Noir,5.0,5.0,,20 CV,(DIN) 317 ch,,VOLVO,XC60 II phase 2
CITROEN C3 AIRCROSS,22210.0,France,2022.0,11/10/2022,42 699 km,Essence,Manuelle,platine,5.0,5.0,,6 CV,(DIN) 110 ch,"6,3 L/100 km",CITROEN,C3 AIRCROSS
CITROEN C3 (3E GENERATION),17080.0,Importé,2023.0,18/07/2023,18 582 km,Essence,Manuelle,gris,,5.0,,4 CV,(DIN) 83 ch,,CITROEN,C3 (3E GENERATION)
VOLKSWAGEN T-ROC phase 2,44380.0,France,2024.0,06/05/2024,12 km,Essence,Automatique,gris,5.0,5.0,,8 CV,(DIN) 150 ch,"6,1 L/100 km",VOLKSWAGEN,T-ROC phase 2
CITROEN C3 (3E GENERATION),14560.0,Importé,2021.0,21/10/2021,60 815 km,Essence,Manuelle,noir,,5.0,,4 CV,(DIN) 83 ch,,CITROEN,C3 (3E GENERATION)
CITROEN C3 AIRCROSS phase 2,20720.0,France,2022.0,06/01/2023,47 316 km,Essence,Manuelle,bleu,5.0,5.0,"4,16 m",6 CV,(DIN) 110 ch,"5,8 L/100 km",CITROEN,C3 AIRCROSS phase 2
PEUGEOT 3008 II phase 2,31480.0,France,2022.0,05/11/2022,37 763 km,Diesel,Automatique,GRIS ARTENSE,,5.0,,7 CV,(DIN) 131 ch,"5,2 L/100 km",PEUGEOT,3008 II phase 2
RENAULT KADJAR phase 2,17640.0,France,2020.0,13/03/2020,65 933 km,Diesel,Manuelle,gris titanium,5.0,5.0,"4,45 m",6 CV,(DIN) 116 ch,"4,3 L/100 km",RENAULT,KADJAR phase 2
RENAULT SCENIC IV,21750.0,France,2022.0,02/02/2022,115 660 km,Diesel,Automatique,platine,5.0,5.0,,6 CV,(DIN) 120 ch,,RENAULT,SCENIC IV
BMW X2 F39,43980.0,France,2022.0,06/02/2022,32 442 km,Hybride essence électrique,Automatique,NOIR,5.0,5.0,,6 CV,(DIN) 220 ch,,BMW,X2 F39
CITROEN C5 AIRCROSS,44500.0,France,2022.0,02/07/2022,16 163 km,Hybride essence électrique,Automatique,noir,5.0,5.0,"4,50 m",10 CV,(DIN) 225 ch,,CITROEN,C5 AIRCROSS
LAND ROVER DISCOVERY IV,30430.0,France,2014.0,31/08/2014,157 092 km,Diesel,Automatique,blanc,,5.0,,17 CV,(DIN) 256 ch,"8,1 L/100 km",LAND,ROVER DISCOVERY IV
PEUGEOT 108,17330.0,France,2018.0,20/06/2018,41 818 km,Essence,Manuelle,gris clair,4.0,5.0,"3,48 m",4 CV,(DIN) 82 ch,"3,7 L/100 km",PEUGEOT,108
CITROEN JUMPER 2,38490.0,Importé,2023.0,16/09/2023,189 km,Diesel,Manuelle,blanc metal,,4.0,"5,41 m",7 CV,(DIN) 140 ch - (moteur) 103 kW,"8,5 L/100 km",CITROEN,JUMPER 2
CITROEN C3 AIRCROSS,18340.0,France,2020.0,28/09/2020,62 537 km,Essence,Manuelle,COSMIC SILVER,,5.0,,5 CV,(DIN) 110 ch,"4,7 L/100 km",CITROEN,C3 AIRCROSS
MAZDA MX5 IV,31230.0,France,2018.0,26/03/2018,38 744 km,Essence,Manuelle,gris metal,2.0,2.0,"3,92 m",9 CV,(DIN) 160 ch - (moteur) 118 kW,"6,6 L/100 km",MAZDA,MX5 IV
RENAULT AUSTRAL,40840.0,France,2024.0,23/04/2024,11 km,Essence,Automatique,gris,5.0,5.0,"4,51 m",8 CV,(DIN) 160 ch - (moteur) 116 kW,"6,2 L/100 km",RENAULT,AUSTRAL
PEUGEOT 2008 II,28900.0,France,2022.0,13/02/2022,39 535 km,Diesel,Automatique,GRIS PLATINIUM,,5.0,,7 CV,(DIN) 131 ch,"4,8 L/100 km",PEUGEOT,2008 II
CITROEN C3 III phase 2,20780.0,France,2023.0,12/10/2023,7 149 km,Diesel,Manuelle,gris foncé,5.0,5.0,4 m,5 CV,(DIN) 102 ch,"4,2 L/100 km",CITROEN,C3 III phase 2
NISSAN INTERSTAR,48570.0,France,2024.0,02/01/2025,45 km,Diesel,Manuelle,blanc,3.0,2.0,,6 CV,(DIN) 165 ch,,NISSAN,INTERSTAR
FORD FOCUS III RS,41300.0,France,2017.0,11/07/2017,112 690 km,Essence,Manuelle,gris nacre,,5.0,,24 CV,(DIN) 350 ch - (moteur) 257 kW,"6,3 L/100 km",FORD,FOCUS III RS
AUDI A3 III BERLINE,17680.0,Importé,2015.0,30/10/2015,154 828 km,Essence,Automatique,beige metal,,4.0,,7 CV,(DIN) 150 ch - (moteur) 110 kW,"4,1 L/100 km",AUDI,A3 III BERLINE
